Id,Price,Age_08_04,Mfg_Month,Mfg_Year,KM,HP,Met_Color,Automatic,cc,Doors,Cylinders,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Tow_Bar,,,,,,,,,,,,,
17,22750,30,3,2002,34000,192,1,0,1800,3,4,5,100,1185,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,,,,,,,,,,,,,
18,17950,24,9,2002,21716,110,1,0,1600,3,4,5,85,1105,0,0,18,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,
19,16750,24,9,2002,25563,110,0,0,1600,3,4,5,19,1065,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,
20,16950,30,3,2002,64359,110,1,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
21,15950,30,3,2002,67660,110,1,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,,
22,16950,29,4,2002,43905,110,0,1,1600,3,4,5,100,1170,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
23,15950,28,5,2002,56349,110,1,0,1600,3,4,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,,
24,16950,28,5,2002,32220,110,1,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
25,16250,29,4,2002,25813,110,1,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
26,15950,25,8,2002,28450,110,1,0,1600,3,4,5,85,1120,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,,
27,17495,27,6,2002,34545,110,1,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,,,,,,,,,,,,,
28,15750,29,4,2002,41415,110,1,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
29,16950,28,5,2002,44142,110,0,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
30,17950,30,3,2002,11090,110,1,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
31,12950,29,4,2002,9750,97,1,0,1400,3,4,5,19,1100,1,1,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,,,,,,,,,,,,
32,15750,22,11,2002,35199,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,,,,,,,,,,,,,
33,15950,27,6,2002,29510,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
34,14950,26,7,2002,32692,97,1,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
35,15500,22,11,2002,41000,97,1,0,1400,3,4,5,85,1100,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
36,15750,26,7,2002,43000,97,0,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
37,15950,25,8,2002,25000,97,0,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
38,14950,23,10,2002,10000,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
39,15750,32,1,2002,25329,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
40,14750,27,6,2002,27500,97,0,0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
41,13950,22,11,2002,49059,97,0,0,1400,3,4,5,85,1100,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
42,16750,27,6,2002,44068,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
43,13950,22,11,2002,46961,97,0,0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
44,16950,27,6,2002,110404,90,0,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
45,16950,22,11,2002,100250,90,0,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
46,19000,23,10,2002,84000,90,0,0,2000,5,4,5,234,1270,0,1,3,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,,,,,,,,,,,,,
47,17950,27,6,2002,79375,90,1,0,2000,5,4,5,234,1255,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
48,15800,22,11,2002,75048,97,1,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,,
49,17950,22,11,2002,72215,90,1,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
50,21950,31,2,2002,64982,192,1,0,1800,5,4,6,100,1195,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
51,17950,22,11,2002,62636,90,1,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
52,15750,30,3,2002,57086,97,1,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,,,,,,,,,,,,,
53,20500,26,7,2002,56000,110,1,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
54,21950,27,6,2002,49866,192,1,0,1800,5,4,5,100,1195,0,1,13,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,,,,,,,,,,,,,
55,15500,25,8,2002,49163,110,0,1,1600,5,4,5,100,1165,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
56,13250,32,1,2002,45725,110,1,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,,,,,,,,,,,,,
57,15250,28,5,2002,43210,97,0,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
58,15250,26,7,2002,43000,97,0,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
59,18950,23,10,2002,39704,110,1,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
60,15999,30,3,2002,38950,110,1,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
61,14950,22,11,2002,37400,97,1,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
62,16500,27,6,2002,37177,110,0,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
63,18750,31,2,2002,36544,110,1,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,,,,,,,,,,,,,
64,17950,30,3,2002,33511,110,1,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
65,17950,27,6,2002,32809,97,1,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,,
66,16950,26,7,2002,32181,110,1,0,1600,5,4,5,19,1075,0,1,12,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,
67,18950,28,5,2002,30993,110,1,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
68,14950,22,11,2002,30400,97,1,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
69,22250,22,11,2002,30000,110,1,0,2000,5,4,5,234,1275,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
70,15950,25,8,2002,29719,97,1,0,1400,5,4,5,85,1110,1,1,3,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
71,15950,28,5,2002,29206,97,1,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
72,12995,32,1,2002,29198,97,1,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,,,,,,,,,,,,,
73,18950,28,5,2002,28817,110,1,0,1598,5,4,5,85,1130,1,1,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,
74,15750,23,10,2002,28227,97,1,0,1400,5,4,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
75,19950,28,5,2002,28000,110,0,0,1600,5,4,5,85,1130,1,0,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,,,,,,,,,,,,,
76,16950,23,10,2002,28000,110,1,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
77,18750,31,2,2002,25266,110,1,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
78,18450,27,6,2002,23489,110,0,0,1600,5,4,5,85,1115,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
79,16895,29,4,2002,22575,110,1,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
80,14900,30,3,2002,22000,97,1,0,1400,5,4,5,85,1110,1,1,3,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
81,18950,25,8,2002,20019,110,1,1,16000,5,4,5,100,1180,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
82,17250,29,4,2002,20000,110,1,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
83,15450,25,8,2002,17003,97,1,0,1400,5,4,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
84,17950,31,2,2002,16238,110,1,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
85,16650,25,8,2002,15414,97,1,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
86,17450,28,5,2002,8537,110,1,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
87,14900,30,3,2002,7000,97,1,0,1400,5,4,5,85,1100,0,0,12,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,,,,,,,,,,,,,
88,17950,20,1,2003,66966,90,1,0,2000,3,4,5,210,1245,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
89,15950,19,2,2003,51884,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
90,21950,19,2,2003,50005,110,1,0,2000,3,4,5,234,1265,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
91,16450,20,1,2003,48110,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
92,22250,20,1,2003,37500,90,1,0,2000,3,4,5,234,1260,0,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
93,19950,16,5,2003,34472,90,1,0,1995,3,4,5,234,1260,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,,,,,,,,,,,,,
94,15950,20,1,2003,33329,97,1,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
95,18900,20,1,2003,31850,110,0,0,1600,3,4,5,85,1120,0,1,20,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,,,,,,,,,,,,,
96,19950,17,4,2003,30351,90,1,0,1995,3,4,5,234,1260,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
97,15950,19,2,2003,29435,97,1,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
98,15950,19,2,2003,25948,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
99,18750,11,10,2003,24500,110,1,0,1600,3,4,5,85,1120,0,0,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
100,17450,18,3,2003,23902,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,,,,
101,18990,20,1,2003,23175,110,1,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
102,16250,19,2,2003,19200,97,1,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,,,,
103,18500,13,8,2003,18000,71,0,0,1400,3,4,5,85,1125,0,1,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,,,,,,,,,,,,,
104,18500,11,10,2003,16123,110,1,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
105,19450,11,10,2003,14635,110,1,1,1600,3,4,5,100,1155,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
106,16950,19,2,2003,13748,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,,,,,,,,,,,,,
107,18800,14,7,2003,11500,110,1,0,1600,3,4,5,69,1045,0,0,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,,,,,,,,,,,,,
108,17450,17,4,2003,10000,97,1,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
109,17950,20,1,2003,7187,110,1,0,1600,3,4,5,85,1105,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
111,32500,4,5,2004,1,116,0,0,2000,5,4,5,283,1480,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
112,31000,4,5,2004,4000,116,1,0,2000,5,4,5,283,1480,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
113,31275,4,5,2004,1500,116,1,0,2000,5,4,5,283,1480,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
114,24950,8,1,2004,13253,116,1,0,2000,5,4,5,234,1320,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
115,24950,8,1,2004,13253,116,1,0,2000,5,4,5,234,1320,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
116,22950,7,2,2004,10000,116,1,0,2000,5,4,5,234,1270,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,,,,
117,24990,8,1,2004,6000,90,1,0,2000,5,4,5,234,1280,1,1,3,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,,,,
118,21950,8,1,2004,10841,90,1,0,2000,5,4,5,234,1270,0,1,3,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,,,,,,,,,,,,
119,17900,7,2,2004,1,110,1,0,1600,3,4,5,85,1105,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
120,19250,20,1,2003,63000,90,1,0,2000,5,4,5,234,1255,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
121,22250,17,4,2003,57313,110,1,0,2000,5,4,5,234,1275,1,1,3,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,,,,,,,,,,,,,
122,18950,13,8,2003,57037,110,0,0,1600,5,4,5,85,1115,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
123,19950,19,2,2003,51099,90,1,0,2000,5,4,5,234,1255,0,0,3,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,
124,16350,14,7,2003,40010,110,1,0,1600,5,4,5,85,1115,1,1,3,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,,,,,,,,,,,,,
125,18950,20,1,2003,39115,110,1,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,,,,,,,,,,,,,
126,16950,17,4,2003,36012,110,0,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
127,21750,16,5,2003,36000,110,1,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
128,15950,20,1,2003,36000,110,1,0,1600,5,4,5,19,1075,0,1,3,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,,
129,16500,20,1,2003,35000,97,1,0,1400,5,4,5,85,1110,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
130,17950,17,4,2003,33740,97,1,0,1400,5,4,5,85,1135,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
131,15850,13,8,2003,33477,110,1,0,1600,5,4,5,19,1075,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
132,16250,20,1,2003,32627,97,1,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
133,15950,20,1,2003,29797,97,1,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
134,16250,19,2,2003,29441,97,1,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
135,15950,13,8,2003,29371,110,1,0,1600,4,4,5,19,1105,0,0,24,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
136,16500,20,1,2003,29000,97,0,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,,,,,,,,,,,,,
137,16500,19,2,2003,27821,97,0,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
138,18450,19,2,2003,27371,97,0,0,1400,5,4,5,85,1135,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
139,16250,13,8,2003,25170,110,1,0,1600,5,4,5,19,1105,0,0,24,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
140,23000,11,10,2003,25000,116,1,0,2000,5,4,5,64,1320,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,,,,,,,,,,,,,
141,19900,20,1,2003,23000,110,1,0,1600,5,4,5,85,1130,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
142,16450,20,1,2003,22588,97,1,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
143,23950,19,2,2003,21684,192,1,0,1800,5,4,5,19,1185,0,1,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,,,,,,,,,,,,,
144,19950,13,8,2003,21428,110,1,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
145,18500,16,5,2003,20629,110,1,0,1600,4,4,5,85,1090,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
146,18950,15,6,2003,20270,110,1,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
147,16450,16,5,2003,20105,97,0,0,1400,5,4,5,85,1110,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
148,20500,20,1,2003,20000,110,0,1,1600,5,4,5,100,1165,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,,,,,,,,,,,,,
149,24500,13,8,2003,19988,110,1,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
150,19450,19,2,2003,18328,110,0,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
151,20950,14,7,2003,17896,110,1,1,1600,4,4,5,85,1150,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
152,17200,20,1,2003,17300,97,1,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
153,19950,19,2,2003,17038,110,0,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
154,18450,10,11,2003,13747,97,1,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
